PID  PTvpe   PT   VT   FT   WT   TT   Cancel   Resc
P100 N       101  104  155  44   7    F        F    
P135 R       136  139  151  2    10   F        F    
P129 R       130  133  151  5    13   F        F    
P139 R       140  143  150  1    6    F        F    
P96  N       97   100  149  44   5    F        F    
P95  R       96   99   149  33   17   F        F    
P90  N       91   94   146  41   11   F        F    
P92  N       93   96   144  37   11   F        F    
P123 R       124  127  143  3    13   F        F    
P133 R       134  137  141  1    3    F        F    
P94  N       95   98   140  39   3    F        F    
P127 R       128  131  140  1    8    F        F    
P86  N       87   90   138  36   12   F        F    
P84  N       85   88   137  39   10   F        F    
P89  R       90   93   136  31   12   F        F    
P117 R       118  121  133  2    10   F        F    
P88  N       89   92   133  36   5    F        F    
P121 R       122  125  133  1    7    F        F    
P80  N       81   84   132  35   13   F        F    
P78  N       79   82   129  35   12   F        F    
P111 R       112  115  128  3    10   F        F    
P83  R       84   87   127  25   15   F        F    
P115 R       116  119  126  1    6    F        F    
P82  N       83   86   125  37   2    F        F    
P109 R       110  113  123  1    9    F        F    
P74  N       75   78   122  28   16   F        F    
P77  R       78   81   122  27   14   F        F    
P105 R       106  109  118  2    7    F        F    
P76  N       77   80   118  34   4    F        F    
P72  N       73   76   116  34   6    F        F    
P99  R       100  103  115  2    10   F        F    
P71  R       72   75   114  25   14   F        F    
P93  R       94   97   114  3    14   F        F    
P103 R       104  107  113  1    5    F        F    
P68  N       69   72   112  26   14   F        F    
P70  N       71   74   111  31   6    F        F    
P66  N       67   70   108  28   10   F        F    
P97  R       98   101  108  1    6    F        F    
P87  R       88   91   104  3    10   F        F    
P65  R       66   69   104  19   16   F        F    
P91  R       92   95   103  1    7    F        F    
P60  N       61   64   101  28   9    F        F    
P56  N       57   60   99   19   20   F        F    
P62  N       63   66   98   18   14   F        F    
P81  R       82   85   98   3    10   F        F    
P85  R       86   89   98   1    8    F        F    
P64  N       65   68   96   24   4    F        F    
P54  N       55   58   92   24   10   F        F    
P59  R       60   63   91   14   14   F        F    
P75  R       76   79   90   2    9    F        F    
P79  R       80   83   90   1    6    F        F    
P69  R       70   73   87   4    10   F        F    
P73  R       74   77   87   1    9    F        F    
P58  N       59   62   86   22   2    F        F    
P48  N       49   52   84   21   11   F        F    
P53  R       54   57   83   14   12   F        F    
P50  N       51   54   82   16   12   F        F    
P52  N       53   56   82   21   5    F        F    
P63  R       64   67   80   2    11   F        F    
P44  N       45   48   80   19   13   F        F    
P67  R       68   71   77   1    5    F        F    
P42  N       43   46   75   20   9    F        F    
P38  N       39   42   74   18   14   F        F    
P61  R       62   65   73   1    7    F        F    
P47  R       48   51   72   8    13   F        F    
P57  R       58   61   72   2    9    F        F    
P46  N       47   50   71   19   2    F        F    
P51  R       52   55   67   3    9    F        F    
P41  R       42   45   66   5    16   F        F    
P36  N       37   40   65   16   9    F        F    
P40  N       41   44   64   17   3    F        F    
P55  R       56   59   64   1    4    F        F    
P49  R       50   53   63   1    9    F        F    
P45  R       46   49   61   2    10   F        F    
P35  R       36   39   60   7    14   F        F    
P34  N       35   38   60   13   9    F        F    
P32  N       33   36   59   10   13   F        F    
P30  N       31   34   57   13   10   F        F    
P39  R       40   43   55   2    10   F        F    
P43  R       44   47   55   1    7    F        F    
P29  R       30   33   54   5    16   F        F    
P26  N       27   30   51   5    16   F        F    
P33  R       34   37   48   2    9    F        F    
P28  N       29   32   48   12   4    F        F    
P23  R       24   27   48   7    14   F        F    
P24  N       25   28   47   9    10   F        F    
P37  R       38   41   46   1    4    F        F    
P27  R       28   31   42   2    9    F        F    
P31  R       32   35   42   1    6    F        F    
P20  N       21   24   41   4    13   F        F    
P14  N       15   18   41   7    16   F        F    
P21  R       22   25   39   2    12   F        F    
P18  N       19   22   39   6    11   F        F    
P22  N       23   26   39   7    6    F        F    
P25  R       26   29   35   1    5    F        F    
P17  R       18   21   35   5    9    F        F    
P11  R       12   15   32   3    14   F        F    
P15  R       16   19   30   2    9    F        F    
P19  R       20   23   28   1    4    F        F    
P12  N       13   16   26   3    7    F        F    
P8   N       9    12   26   3    11   F        F    
P16  N       17   20   26   1    5    F        F    
P13  R       14   17   26   1    8    F        F    
P9   R       10   13   25   2    10   F        F    
P5   R       6    9    24   5    10   F        F    
P3   R       4    7    23   3    13   F        F    
P6   N       7    10   23   2    11   F        F    
P1   N       1    5    21   3    13   F        F    
P7   R       8    11   21   1    9    F        F    
P2   N       3    6    20   4    10   F        F    
P10  N       11   14   18   1    3    F        F    
P4   N       5    8    15   1    6    F        F    
P0   R       2    4    8    1    3    F        F    
Total number of timesteps = 314
Total number of all, N, and R patients = 200, 100, 100
Average total waiting time for all, N, and R patients = 29, 45, 14
Average total treatment time for all, N, and R patients = 9, 9, 10
Percentage of patients of an accepted cancellation (%) = 0%
Percentage of patients of an accepted rescheduling (%) = 0%
Percentage of early patients (%) = 0%
Percentage of late patients (%) = 100%
Average late penalty = 1 timestep(s)
